LOIH,HOHENEMS,47.38444444,9.69972222
LOIR,REUTTE,47.47027778,10.69222222
LOWI,INNSBRUCK,47.26027778,11.34388889
LOIK,KUFSTEIN,47.56416667,12.1275
LOIJ,ST. JOHANN,47.52111111,12.45
LOWZ,ZELL AM SEE,47.29154206,12.79085731
LOWS,SALZBURG,47.79444444,13.00333333
LOLK,RIED,48.21218492,13.34590244
LOLS,SCHÄRDING,48.40288161,13.44804097
ALTENMB,ALTENMARKT,47.38283333,13.40816667
LOBAGO,BAD GOISERN,47.62833333,13.61166667
LOSM,MAUTERNDORF,47.13215256,13.69618225
LOLU,GMUNDEN,47.95166667,13.865
LOLC,SCHARNSTEIN,47.89805556,13.93861111
LOLE,EFERDING,48.338333,13.985
LOGO,NIEDERÖBLARN,47.47954942,14.00810433
LOXA,AIGEN,47.533,14.133
LOLM,MICHELDORF,47.871964,14.125553
LOLW,WELS,48.18166667,14.03833333
LOWL,LINZ,48.23527778,14.18805556
LOLJ,NEUROMED CAMPUS LINZ,48.28023528,14.29741572
LOGI,TRIEBEN,47.49416667,14.4975
LOLH,HOFKIRCHEN,48.13907814,14.33558778
LOLO,LINZ OST,48.29944444,14.33416667
LOLF,FREISTADT,48.51388889,14.40611111
LOLT,SEITENSTETTEN,48.050548,14.662684
LOXZ,ZELTWEG,47.20416667,14.74675
LOGT,TIMMERSDORF,47.38,14.96777778
LOLG,ST. GEORGEN,48.103392,14.951093
LOGK,KAPFENBERG,47.45777778,15.32861111
LOGL,TURNAU,47.554291,15.3169
LOGM,MARIAZELL,47.78944444,15.30027778
LOAA,OTTENSCHLAG,48.419149,15.215647
LOAB,DOBERSBERG,48.923532,15.292271
RAIN02,RAIN,47.13664628,15.28967761
LOGW,WEIZ,47.170111,15.664472
LOAD,VÖLTENDORF,48.16055556,15.5875
LOAG,KREMS,48.446944,15.635
AICHLMB,AICHLMUEHL,47.84533333,15.83716667
LKCB,CHEB,50.06638889,12.41277778
LKTD,TACHOV,49.79777778,12.70694444
LKKRIZ,KRIZENEC,49.87055556,12.7725
LKMR,MARIANSKE LAZNE,49.92277778,12.72472222
LKHORY,HORY,50.21722222,12.77688389
LKTO,TOUZIM,50.08638889,12.95277778
LKKV,KARLOVY VARY,50.20305556,12.915
LKOSTR,OSTROV,50.33666667,12.96972222
LKSA,STANKOV,49.56666667,13.04861111
LKER,ERPRUZICE,49.80277778,13.03805556
LKPLES,PLEŠNICE,49.77202806,13.16111028
LKLOCH,LOCHOUSICE,49.67489722,13.09943333
LKKT,KLATOVY,49.41833333,13.32194444
LKCHOV,CHOTESOV,49.65166667,13.18972222
LKLN,PLZEN/LINE,49.67527778,13.27444444
LKPL,LETKOV,49.72305556,13.45222222
LKPS,PLASY,49.92027778,13.37694444
LKCH,CHOMUTOV,50.46888889,13.46805556
LKNAPA,NAPAJEDLA,49.19875833,13.6
LKRABI,RABI,49.27518333,13.62786111
LKRY,ROKYCANY,49.75194444,13.58972222
LKZD,ZATEC/MACERKA,50.3175,13.51277778
LKBL,BLATNA,49.4310475,13.79678556
LKRK,RAKOVNIK,50.09416667,13.68888889
LKPANO,PANOSI UJEZD,50.03867222,13.69698056
LKRA,RANA,50.40388889,13.75194444
LKCHAR,CHARVATCE,50.43361111,13.81138889
LKMO,MOST,50.525,13.68305556
LKTEPL,TEPLICE,50.62083333,13.81055556
LKST,STRAKONICE,49.25166667,13.89283333
LKHV,HOROVICE,49.84472222,13.88583333
LKPC,PANENSKY TYNEC,50.30638889,13.935
LKUL,USTI NAD LABEM,50.69972222,13.96972222
LKSR,STRUNKOVICE,49.0825,14.07583333
LKPISK,PISEK - KRASOVICE,49.33944444,14.11388889
LKPM,PRIBRAM,49.72,14.10027778
LKBURA,BURANOS AIRES,50.00861111,14.03916667
LKKL,KLADNO,50.11277778,14.08972222
LKSN,SLANY,50.21666667,14.08861111
LKRADO,RADOVESICE,50.409,14.08402778
LKTERE,TEREZIN,50.51955833,14.15587778
LKFRYM,FRYMBURK,48.69861111,14.1975
LKHLAS,HLASKA,49.06694444,14.24138889
LKBU,BUBOVICE,49.97444444,14.17805556
LKPR,PRAHA/RUZYNE,50.10083333,14.26
LKSZ,SAZENA,50.32472222,14.25888889
LKRO,ROUDNICE,50.41055556,14.22611111
LKDUSN,DUSINKY,50.41277778,14.19805556
LKPOLE,POLEPY,50.520625,14.27234444
LKBYNO,BYNOVEC,50.82194444,14.27138889
LKKAPL,KAPLICE,48.71888611,14.45047778
LKCS,CESKE BUDEJOVICE,48.94638889,14.4275
LKDOUD,DOUDLEBY,48.885,14.48638889
LKHS,HOSIN,49.04,14.495
LKBECH,BECHYNE,49.27722222,14.49333333
LKTC,TOCNA,49.98527778,14.42555556
LKVO,PRAHA/VODOCHODY,50.21666667,14.39555556
LKSTET,STETI,50.465,14.40611111
LKPOCA,HORNI POCAPLY,50.41805556,14.38416667
LKCHRI,CHRIBSKA,50.85805278,14.46694167
LKZELE,ZELEC,49.33055556,14.65908333
LKTV,VSECHOV,49.43825111,14.62164083
LKBE,BENESOV,49.74083333,14.64472222
LKRICA,RICANY,49.97443889,14.64983056
LKKB,KBELY,50.12136667,14.54363889
LKLT,LETNANY,50.13138889,14.52555556
LKBORE,BOREK,50.21083333,14.6575
LKKRPY,KRPY,50.3275,14.66361111
LKRAMS,RAMŠ,50.64166667,14.54138889
LKCE,CESKA LIPA,50.70944444,14.56666667
LKKRAM,KRAMOLIN,48.91499722,14.72638611
LKSO,SOBESLAV,49.24666667,14.71366667
LKKOSI,KOSICE U TABORA,49.31805556,14.74916667
LKTA,TABOR,49.39111111,14.70833333
LKOSIC,OSICINY,50.01583333,14.77222222
LKVRAT,VRATKOV,50.04051944,14.81885056
LKHRAD,HRADCANY,50.61944444,14.73277778
LKJH,JINDRICHUV HRADEC,49.15083333,14.97166667
LKPV,KAMEN,49.41788639,14.99801889
LKVL,VLASIM,49.72888889,14.87888889
LKSAZA,SAZAVA,49.88777778,14.93944444
LKNUCI,NUČICE,49.95111111,14.87
LKCHRA,CHRASTANY,50.05861111,14.92305556
LKMILO,MILOVICE,50.23777778,14.91027778
LKMLAD,MLADA,50.24361111,14.85555556
LKKOST,KOSTOMLATY,50.20805556,14.92861111
LKMB,MLADA BOLESLAV,50.39833333,14.89833333
LKCDUB,CESKY DUB,50.67805556,14.99972222
LKDRUZ,DRUZCOV,50.72805556,14.92472222
LKNVCE,NOVA VCELNICE,49.26722222,15.07777778
LKCAST,CASTKOVICE,49.40944444,15.14416667
LKJIRI,KŘELOVICE - JIŘIČKY,49.55222222,15.15555556
LKNYMB,NYMBURK,50.16916667,15.05222222
LKLOUC,LOUCEN,50.279345,15.06111083
LKHD,HODKOVICE,50.65722222,15.07777778
LKMH,MNICHOVO HRADISTE,50.54,15.00666667
LKVSEN,VSEN,50.55527778,15.09388889
LKLB,LIBEREC,50.76833333,15.025
LKZB,ZBRASLAVICE,49.81416667,15.20166667
LKKO,KOLIN,50.00194444,15.17333333
LKJC,JICIN,50.43,15.33305556
LKLIBA,LIBAN,50.37033056,15.20116389
LKKEJZ,KEJZLICE,49.59222222,15.40138889
LKCV,CASLAV,49.93956389,15.38193333
LKROHO,ROHOZEC,49.98194444,15.39277778
LKLOMN,LOMNICE,50.54,15.38805556
LKJI,JIHLAVA,49.41972222,15.63555556
LKHB,HAVLICKUV BROD,49.59722222,15.54916667
LKPN,PODHORANY,49.93916667,15.54972222
LKVESE,VESELI U PRELOUCE,50.00694444,15.61777778
LKSKUD,SKUDLY,50.02194444,15.52055556
LKHC,HORICE,50.35666667,15.57722222
LKCHOT,CHOTEC,50.43388889,15.53055556
LKVR,VRCHLABI,50.62416667,15.64638889
LKSTUD,STUDENEC,50.54944444,15.53611111
LKPI,PRIBYSLAV,49.58083333,15.76277778
